FieldSub(class_name='android.view.InsetsState', name='ITYPE_LEFT_GENERIC_OVERLAY')
FieldSub(class_name='android.view.InsetsState', name='ITYPE_RIGHT_GENERIC_OVERLAY')
FieldSub(class_name='android.view.InsetsState', name='ITYPE_TOP_GENERIC_OVERLAY')
FieldSub(class_name='android.view.PendingInsetsController', name='mLoggingListener')
FieldSub(class_name='android.view.RemoteAccessibilityController$RemoteAccessibilityEmbeddedConnection', name='mController')
FieldSub(class_name='android.view.RemoteAnimationTarget', name='showBackdrop')
FieldSub(class_name='android.view.RemoteAnimationTarget', name='willShowImeOnTarget')
FieldSub(class_name='android.view.ViewRootImpl', name='LOCAL_SYNC_MERGED')
FieldSub(class_name='android.view.ViewRootImpl', name='LOCAL_SYNC_NONE')
FieldSub(class_name='android.view.ViewRootImpl', name='LOCAL_SYNC_PENDING')
FieldSub(class_name='android.view.ViewRootImpl', name='LOCAL_SYNC_RETURNED')
FieldSub(class_name='android.view.ViewRootImpl', name='mCheckIfCanDraw')
FieldSub(class_name='android.view.ViewRootImpl', name='mDrewOnceForSync')
FieldSub(class_name='android.view.ViewRootImpl', name='mInvSizeCompatScale')
FieldSub(class_name='android.view.ViewRootImpl', name='mLastPerformDrawSkippedReason')
FieldSub(class_name='android.view.ViewRootImpl', name='mLastPerformTraversalsSkipDrawReason')
FieldSub(class_name='android.view.ViewRootImpl', name='mLastReportNextDrawReason')
FieldSub(class_name='android.view.ViewRootImpl', name='mLocalSyncState')
FieldSub(class_name='android.view.ViewRootImpl', name='mRelayoutSeq')
FieldSub(class_name='android.view.ViewRootImpl', name='mTempWinConfig')
FieldSub(class_name='android.view.ViewRootImpl', name='mUpdateSurfaceNeeded')
FieldSub(class_name='android.view.ViewRootImpl', name='mWinFrameInScreen')
FieldSub(class_name='android.view.ViewStructure', name='EXTRA_ACTIVE_CHILDREN_IDS')
FieldSub(class_name='android.view.ViewStructure', name='EXTRA_FIRST_ACTIVE_POSITION')
FieldSub(class_name='android.view.ViewTreeObserver', name='mLastDispatchOnPreDrawCanceledReason')
FieldSub(class_name='android.view.ViewTreeObserver', name='mOnWindowVisibilityListeners')
FieldSub(class_name='android.view.WindowInsets$Type', name='GENERIC_OVERLAYS')
FieldSub(class_name='android.view.WindowManager', name='TRANSIT_OLD_DREAM_ACTIVITY_CLOSE')
FieldSub(class_name='android.view.WindowManager', name='TRANSIT_OLD_DREAM_ACTIVITY_OPEN')
FieldSub(class_name='android.view.WindowManager', name='TRANSIT_OLD_KEYGUARD_OCCLUDE_BY_DREAM')
FieldSub(class_name='android.view.WindowManager$LayoutParams', name='PRIVATE_FLAG_UNRESTRICTED_GESTURE_EXCLUSION')
FieldSub(class_name='android.view.WindowManager$LayoutParams', name='providedInsets')
FieldSub(class_name='android.view.WindowManagerGlobal', name='RELAYOUT_RES_CANCEL_AND_REDRAW')
FieldSub(class_name='android.view.contentcapture.ContentCaptureManager', name='DEVICE_CONFIG_PROPERTY_REPORT_LIST_VIEW_CHILDREN')
FieldSub(class_name='android.widget.AbsListView', name='mReportChildrenToContentCaptureOnNextUpdate')
FieldSub(class_name='android.widget.AbsListView', name='sContentCaptureReportingEnabledByDeviceConfig')
FieldSub(class_name='android.widget.AbsListView', name='sDeviceConfigChangeListener')
FieldSub(class_name='android.widget.RemoteViews$AsyncApplyTask', name='mApplyParams')
FieldSub(class_name='android.widget.RemoteViews$ColorResources', name='mColorMapping')
FieldSub(class_name='android.widget.ToastPresenter', name='TEXT_TOAST_LAYOUT_WITH_ICON')
