FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_HJR')
FieldSub(class_name='android.hardware.Camera$Parameters', name='KEY_QC_AE_BRACKET_HDR')
FieldSub(class_name='android.hardware.Camera$Parameters', name='LENSSHADE_DISABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='LENSSHADE_ENABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='LOW_POWER')
FieldSub(class_name='android.hardware.Camera$Parameters', name='MCE_DISABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='MCE_ENABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='NORMAL_POWER')
FieldSub(class_name='android.hardware.Camera$Parameters', name='REDEYE_REDUCTION_DISABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='REDEYE_REDUCTION_ENABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SCENE_DETECT_OFF')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SCENE_DETECT_ON')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SCENE_MODE_ASD')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SCENE_MODE_BACKLIGHT')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SCENE_MODE_FLOWERS')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SELECTABLE_ZONE_AF_AUTO')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SELECTABLE_ZONE_AF_CENTER_WEIGHTED')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SELECTABLE_ZONE_AF_FRAME_AVERAGE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SELECTABLE_ZONE_AF_SPOTMETERING')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SKIN_TONE_ENHANCEMENT_DISABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='SKIN_TONE_ENHANCEMENT_ENABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='TOUCH_AF_AEC_OFF')
FieldSub(class_name='android.hardware.Camera$Parameters', name='TOUCH_AF_AEC_ON')
FieldSub(class_name='android.hardware.Camera$Parameters', name='VIDEO_HFR_2X')
