FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_CONFIGFLAG_UNDEFINED')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_FREEFORM_REMBER_LAUNCH_PARAMS')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_SPLITMODE_NO')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_SPLITMODE_UNDEFINED')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_SPLITMODE_YES')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_FREEFORM')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_PRIMARY')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_SECONDARY')
FieldSub(class_name='android.app.WindowConfiguration', name='PINNED_WINDOWING_MODE_ELEVATION_IN_DIP')
FieldSub(class_name='android.app.WindowConfiguration', name='WINDOWING_MODE_FREEFORM_PC')
FieldSub(class_name='android.app.WindowConfiguration', name='mLetterBoxed')
FieldSub(class_name='android.app.WindowConfiguration', name='mMiuiConfigFlag')
FieldSub(class_name='android.app.WindowConfiguration', name='mMiuiSplitMode')
FieldSub(class_name='android.app.backup.IBackupManager$Stub', name='TRANSACTION_cancelMiuiBackupsForUser')
FieldSub(class_name='android.app.settings.SettingsEnums', name='BACKUP_CALLING_DIALOG')
FieldSub(class_name='android.app.usage.IUsageStatsManager$Stub', name='TRANSACTION_queryUsageStatsAsUser')
FieldSub(class_name='android.appwidget.AppWidgetHost', name='TAG')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioDevice', name='AUDIO_DEVICE_OUT_MULTIROUTE')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioInOutFlag', name='AUDIO_INPUT_FLAG_VOIP_RECORD')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioInOutFlag', name='AUDIO_OUTPUT_FLAG_VIRTUAL_DEEP_BUFFER')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioSource', name='AUDIO_SOURCE_VOIP_CALL')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioSource', name='AUDIO_SOURCE_VOIP_DOWNLINK')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioSource', name='AUDIO_SOURCE_VOIP_UPLINK')
FieldSub(class_name='android.bluetooth.BluetoothAdapter', name='ADDRESS_LHDC_FLAG_EXTENTION')
FieldSub(class_name='android.bluetooth.BluetoothAdapter', name='ADDRESS_LHDC_FLAG_LENGTH')
FieldSub(class_name='android.bluetooth.BluetoothClass$Service', name='GROUP')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='CHANNEL_MODE_JOINT_STEREO')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_16000')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_24000')
